FeatureA,FeatureB,FeatureC,FeatureD,FeatureE,SecretCode,FeatureF,FeatureG,FeatureH,FeatureI,Country_ID,Comp_ID,End Time time,End Time Year,End Time Month,End Time Day_of_month,Start Time time,Start Time Year,Start Time Month,Start Time Day_of_month
"[2, 3]",[],6.0,1,3,0,[2],[],[2],6.0,,ID_UILN,,,,,06:00:00,3,1,19
[1],[9],2.0,0,1,1,[2],[5],[2],2.0,SM32,ID_0CNQ,23:59:00,1.0,6.0,21.0,15:00:00,1,5,21
[1],"[12, 16]",,1,1,0,"[1, 5]",[5],[1],,,ID_ZN92,23:59:00,1.0,12.0,1.0,06:00:00,1,9,4
[5],[15],,1,2,0,[7],[],[7],,,ID_1261,23:59:00,2.0,5.0,3.0,00:01:00,2,2,5
"[2, 3]",[],,0,2,1,"[2, 11, 14]",[5],[2],6.0,,ID_LI7I,14:45:00,1.0,9.0,20.0,11:00:00,1,9,18
[1],"[5, 6]",9.0,1,1,0,[7],[],[7],9.0,ZEWU,ID_IVH9,00:00:00,3.0,10.0,2.0,00:00:00,4,6,29
[1],[],,1,2,0,[1],[3],[1],,,ID_CFN7,23:09:00,2023.0,9.0,12.0,06:00:00,1,5,14
[],[],,0,2,1,[],[],[],,DYYF,ID_Q2OB,14:00:00,1.0,2.0,17.0,13:00:00,1,2,16
"[2, 7]",[],9.0,1,1,0,[2],[],[2],9.0,,ID_CNBR,00:00:00,3.0,11.0,20.0,00:00:00,3,8,16
[1],[9],2.0,0,2,1,"[1, 5]",[5],[1],2.0,ISIQ,ID_5J59,17:00:00,2.0,4.0,18.0,16:30:00,2,4,11
[4],[2],,1,2,0,[2],[3],[],,,ID_L3EB,23:59:00,1.0,9.0,27.0,23:59:00,2,6,7
[1],[],35.0,1,3,0,[1],[5],[1],35.0,,ID_WOVD,,,,,09:00:00,3,9,9
[7],[2],29.0,1,1,0,"[2, 8]",[3],[],29.0,,ID_L9R0,23:59:00,1.0,6.0,13.0,23:59:00,1,3,7
[1],[],,0,2,1,[],[4],[2],,,ID_JPR9,17:00:00,1.0,10.0,20.0,08:57:00,1,10,19
[1],[1],13.0,1,3,0,[1],[3],[1],13.0,DYYF,ID_PB3Q,,,,,00:00:00,4,4,20
[],[],,0,2,1,[10],[3],[10],28.0,YSLJ,ID_45W9,12:00:00,1.0,2.0,10.0,09:10:00,1,2,9
"[3, 2]",[14],7.0,1,3,0,[2],[],[2],7.0,,ID_PJZC,,,,,06:00:00,3,2,16
[1],[],,0,2,1,[2],[3],[2],,DYYF,ID_OXOJ,11:00:00,1.0,1.0,24.0,14:00:00,1,1,23
"[2, 3]",[],6.0,1,2,0,"[2, 1]",[],"[2, 1]",6.0,DYYF,ID_MN35,23:59:00,2.0,10.0,28.0,06:00:00,3,6,20
[1],[],,0,2,1,[1],[5],[1],,G3F0,ID_XRP7,17:00:00,1.0,10.0,20.0,08:57:00,1,10,19
[1],[7],4.0,1,1,0,[1],[5],[1],4.0,ZEWU,ID_0D02,23:59:00,1.0,4.0,25.0,06:00:00,1,1,24
[4],[],10.0,1,2,0,"[2, 3]",[5],"[2, 3]",10.0,G3F0,ID_PDKH,23:59:00,1.0,2.0,23.0,06:00:00,1,11,14
[1],[14],1.0,1,1,0,[1],[5],[1],1.0,ZEWU,ID_BARV,00:00:00,4.0,8.0,28.0,00:00:00,5,6,17
[1],[],,1,2,0,[7],[4],[],29.0,,ID_JRC2,23:59:00,1.0,3.0,28.0,06:00:00,1,12,24
"[4, 2]",[1],28.0,1,3,0,"[3, 2]",[3],[3],,YSLJ,ID_1Q60,,,,,00:00:00,4,10,11
[],[],,1,1,0,[],[3],"[3, 2]",10.0,03GB,ID_I9BN,23:59:00,1.0,3.0,14.0,06:00:00,1,12,13
[1],[9],2.0,1,3,0,[1],[5],[],,,ID_Y6FW,,,,,06:00:00,1,1,9
"[3, 2]",[14],7.0,0,2,1,[2],[5],"[2, 11]",1.0,G3F0,ID_9QGT,21:00:00,1.0,6.0,4.0,21:00:00,1,5,28
"[3, 7]",[],,1,2,0,[],[5],"[8, 10]",,,ID_FM77,23:59:00,1.0,11.0,17.0,23:59:00,1,9,13
[1],[7],4.0,1,1,0,[1],[5],[1],4.0,X9GR,ID_UB7R,23:59:00,1.0,4.0,25.0,06:00:00,1,1,24
[1],[],3.0,0,3,1,[1],[5],[1],31.0,,ID_7YDI,02:00:00,1.0,2.0,17.0,13:30:00,1,2,15
[4],"[5, 6]",9.0,1,3,0,[1],[],[1],9.0,ZEWU,ID_PNHR,,,,,06:00:00,3,5,30
"[1, 6]",[],,1,3,0,[1],[5],[1],2.0,,ID_AS79,06:00:00,1.0,10.0,18.0,23:00:00,1,9,28
[1],[9],5.0,1,3,0,[2],[5],[2],5.0,DYYF,ID_M3G0,,,,,00:00:00,4,4,20
[1],[9],8.0,0,2,1,[2],[5],[2],2.0,ISIQ,ID_8DGC,18:00:00,1.0,5.0,15.0,15:00:00,1,5,13
[3],[],6.0,0,2,1,[15],[4],[],6.0,,ID_9TS1,05:59:00,1.0,3.0,30.0,09:00:00,1,3,29
[2],[15],10.0,1,2,0,[3],[],[3],10.0,,ID_FZ48,00:00:00,3.0,10.0,29.0,00:00:00,3,8,29
[1],[],20.0,1,2,0,"[1, 5]",[5],[1],20.0,,ID_1DWD,23:59:00,2.0,4.0,19.0,06:00:00,2,1,25
[1],[14],1.0,0,2,1,[1],[],[],,,ID_Y1UE,07:00:00,1.0,4.0,26.0,10:00:00,1,4,21
[1],[],2.0,1,2,0,[1],[5],[1],2.0,,ID_QPSR,23:59:00,2.0,1.0,13.0,06:00:00,2,12,17
[4],[15],,1,2,0,"[2, 3]",[3],"[3, 2]",10.0,GYYX,ID_XZ71,23:59:00,1.0,7.0,4.0,06:00:00,1,4,23
[1],[],,1,2,0,[1],[5],[1],,,ID_20XL,23:59:00,1.0,4.0,4.0,00:01:00,1,1,6
[],[],,1,2,0,[2],[5],[2],,,ID_GR92,15:00:00,1.0,2.0,1.0,05:00:00,1,1,1
[1],[],2.0,1,2,0,[1],[5],[1],2.0,,ID_8BH9,23:59:00,1.0,6.0,27.0,15:00:00,1,6,1
[1],[],,0,2,1,[1],[3],[],,H03V,ID_IHRZ,17:00:00,1.0,10.0,20.0,08:57:00,1,10,19
[1],[],25.0,0,2,1,[1],[5],[2],,EGI9,ID_CMWO,12:00:00,1.0,5.0,31.0,12:00:00,1,5,1
[1],[],2.0,0,2,0,[3],[3],[2],2.0,ZEWU,ID_OAR6,23:59:00,1.0,4.0,4.0,11:00:00,1,4,2
